role,title,company,city
data analyst,Marketing Automation & Data Specialist (m/w/d),clicks digital GmbH,Dresden
data analyst,Supply Chain Expert - Data und Sourcing Analyst (f/m/d),E.ON SE,"Essen, Ruhr"
data analyst,Praktikant Data Analytics Physische Logistik (w/m/x),BMW AG,Regensburg
data analyst,Praktikant Automotive Security und Data Analytics (w/m/x),BMW AG,München
data analyst,Consultant Data Engineering (m/w/d),alphaQuest GmbH,"Ulm, Donau"
data analyst,Sustainability Data & Audit Analyst (f-m-d),Techtronic Industries ELC GmbH,"Winnenden, Württemberg"
data analyst,"Head of Data, AI and Automation (m/w/d)",Kresse & Discher GmbH,Offenburg
data analyst,Junior BI Analyst (m/w/d) - SQL & Power BI,Pinguin - System GmbH,"Dornburg, Westerwald"
data analyst,"Senior Manager, Data Analytics - Fraud Prevention (Fintech)",Delivery Hero SE,
data analyst,Data Center Solution Design Engineer (w/m/d),Schneider Electric GmbH,
data analyst,Senior SAP Data & Analytics Consultant (BW/4HANA & SAC)  (m/w/d),univativ GmbH,Kabelsketal
data analyst,Data Analytics Engineer (m/w/d) – Automobilindustrie,prognum Automotive GmbH,
data analyst,Senior Pricing Analyst (Global Pricing),Delivery Hero SE,Berlin
data analyst,"Intern, Data Labeler (Mandarin Speaker) - (Global Discovery, Consumer)",Delivery Hero SE,
data analyst,Tradebyte Senior Product Analyst - Data Products (all genders),Zalando SE,"Ansbach, Mittelfranken"
data analyst,Data Security Analyst (Microsoft Purview) (all genders welcome),COSMO CONSULT Group,Neumarkt in der Oberpfalz
data analyst,BI & Analytics Specialist (m/w/d),Peagle GmbH,München
data analyst,"(Junior) Data & Market Analyst (m/w/d) - Bildungs- und Arbeitsmarkt,Hamburg,Rostock,Hanno...",IBB Institut für Berufliche Bildung AG,Rostock
data analyst,Analyst Meldewesen (w/m/d),TARGOBANK AG,Mainz am Rhein
data analyst,GIS Analyst (m/w/d),Akkodis Germany Tech Experts GmbH,Köln
data analyst,Business Analyst:in Stammdatenmanagement (w/m/d),IBYKUS AG für Informationstechnologie,Erfurt
data analyst,Business Analyst:in Financial (w/m/d),IBYKUS AG für Informationstechnologie,Erfurt
data analyst,Business Analyst:in Agrarförderung (w/m/d),IBYKUS AG für Informationstechnologie,Erfurt
data analyst,Prozessoptimierer (m/w/d),FERCHAU GmbH Niederlassung Oldenburg,Papenburg
data analyst,Analytics Engineer (m/w/d),grey engineering GmbH,Mülheim an der Ruhr
data analyst,Datenbankanalyst (m/w/d),FERCHAU GmbH Niederlassung Karlsruhe City,"Karlsruhe, Baden"
data analyst,Sachbearbeiter Datenaufbereitung und -analyse (m/w/d),FERCHAU GmbH Vertriebsstützpunkt Schwerin,"Schwerin, Mecklenburg"
data analyst,Datenanalyst*in mit Schwerpunkt Preisgestaltung (m/w/d),ARCTIC GmbH,Braunschweig
data analyst,Daten-Analyst (m/w/d),IndustrieAlpine GmbH & Co KG,Berlin
data analyst,Fachsupport agree21 IDA und agree21 Analysen (m/w/d),Atruvia AG,"Karlsruhe, Baden"
data analyst,Trainee Produktdatenmanagement (m/w/d),Bauhaus AG,Mannheim
data analyst,Process Analyst (m/w/d),AXA Konzern AG,Köln
data analyst,NTT DATA Business Solutions Global Managed Services GmbH: Automation Business Process Analyst (f/m/d,NTT DATA Business Solutions Global Managed Services GmbH,Bielefeld
data analyst,"Data Analyst (m/w/d) mit Schwerpunkt BI, KPI & AI, Maria-Reiche-Straße 2a, 01109 Dresden",Solarwatt GmbH,Dresden
data analyst,Teamleitung Daten- und Prozessanalytik (m/w/d),Netto Marken-Discount Stiftung & Co. KG,Maxhütte-Haidhof
data analyst,Werkstudent Analytics Engineer (w/m/d),Nölken Hygiene Products GmbH,"Windhagen, Westerwald"
data analyst,Werkstudent*in HR Metrics DACH (w/m/d),Schneider Electric GmbH,Düsseldorf
data analyst,"Director, BI & Marketing Analytics ",Delivery Hero SE,
data analyst,Business Analyst Expert Digitale Identitäten (m/w/d),Finanz Informatik GmbH & Co. KG,Hannover
data analyst,Senior Specialist Prozessanalyst (w/m/d),TARGOBANK AG,Duisburg
data analyst,Systemingenieur Digitale Architektur (m/w/d),univativ GmbH,Bremen
data analyst,Systemingenieur Digitale Architektur (m/w/d),univativ GmbH,Kiel
data analyst,Senior SAP Analytics Manager (w/m/d),Aareal Bank Group,Wiesbaden
data analyst,Consultant Financial Planning & Analysis (m/w/d),Intelligence Unit Service AG,Braunschweig
data analyst,Dataarchitekt (m/w/d),MOGUNTIA FOOD GROUP GmbH,Georgsmarienhütte
data analyst,Internship – Optimization of Reporting Processes & System Integration / Global Demand & Supply,Continental AG,Hannover
data analyst,Referent Business Analyse/ Data Science/ AI-Engineering (...,Gebeco GmbH & Co KG,Kiel
data analyst,Masterarbeit Datenanalyse und Anomalieerkennung in Antriebsstrangkomponenten (w/m/x),BMW AG,München
data analyst,Werkstudent Spare Parts Management EMEA (x|w|m),Sartorius Corporate Administration GmbH,Guxhagen
data analyst,Praktikum im Bereich Forschung / Datenanalytik / Studien,Fachinstitut für Statistik Ulrich Stefenelli,Würzburg
data analyst,Masterarbeit (m/w/d) mit dem Themenschwerpunkt Datenanalyse mit KI in der Qualität,ABB AG,Mannheim
data analyst,"Spezialist quantitative Erst- und Rückversicherung (all genders) Münster, Düsseldorf",Provinzial Holding AG,Düsseldorf
data analyst,Payment Specialist POS / eCommerce (m/w/d),Netto Marken-Discount Stiftung & Co. KG,Maxhütte-Haidhof
data analyst,Praktikant Financial Planning & Analysis (m/w/d),Intelligence Unit Service AG,Braunschweig
data analyst,Customer Experience Analyst (m/f/d),Hays Professional Solutions GmbH Standort Dortmund,Raunheim
data analyst,Assurance Analyst - Finance w/m/d,Computacenter AG & Co. oHG,"Kerpen, Rheinland"
data analyst,Tableau Dashboard Entwickler (all gender),ALTEN Consulting Services GmbH,Weeze
data analyst,IBM Client Innovation Center Germany GmbH: Werkstudent (m/w/d) Business Operations,IBM Client Innovation Center Germany GmbH,Magdeburg
data analyst,Referent Datenanalyse (w/m/d),Kassenärztliche Vereinigung Rheinland-Pfalz,Mainz am Rhein
data analyst,SAMSUNG - Business Analyst (m/w/d) Deutsch / Koreanisch / Englisch,a-team Zeitarbeit und Personalmanagement GmbH,"Eschborn, Taunus"
data analyst,Senior Expert Lead Customer Insights (m/w/d) - befristet auf 2 Jahre,Fressnapf Holding SE,Krefeld
data analyst,E-Commerce / Marketing Analyst (m/w/d),Bürklin GmbH & Co. KG,Oberhaching bei München
data analyst,Business Intelligence Analyst (m/w/d),HABA Group B.V. & Co. KG,Bad Rodach
data analyst,Datatypisten (m/w/d) / BÜROHELFER  (mIwId),Jobdistrict GmbH,Hamburg
data analyst,Junior Credit Analyst (gn),PS Direkt GmbH & Co. KG,Düsseldorf
data analyst,#14329 Senior Marketing Analyst (m/w/d),Constaff GmbH,Köln
data analyst,Scientific Researcher (f_m_x) - Space Physics and Space Weather,GFZ Helmholtz-Zentrum für Geoforschung,Potsdam
data analyst,Mathematiker Schaden- und Unfallversicherung (m/w/d),INTER Krankenversicherung AG Direktion,Mannheim
data analyst,Senior Financial Analyst (m/f/d),Nexperia Germany GmbH,Hamburg
data analyst,Teamleiter (m/w/d) Commercial Analytics,Hoffmann SE,München
data analyst,Business Analyst Kassen- und Revisionsprozess (w/m/d),dm-drogerie markt GmbH + Co.KG,"Karlsruhe, Baden"
data analyst,"AI Execution Expert (m/w/d), DEHN SE Neumarkt",DEHN SE,Neumarkt in der Oberpfalz
data analyst,Statistiker (m/w/d),RHEACELL GmbH & Co. KG,"Heidelberg, Neckar"
data analyst,CONTROLLER:IN (W/M/D),Delme-Werkstätten gemeinnützige GmbH,Bassum
data analyst,B2C Product Analyst (w/md),Deutsche Glasfaser Holding GmbH,Düsseldorf
data analyst,IT Application & KI Analyst,General Dynamics ELS-BS GmbH Eureopean Land Systems-Bridge Systems,Kaiserslautern
data analyst,Engineering Coordinator (gn),Dock 22 GmbH,Hamburg
data analyst,Statistiker (m/w/d),IU Internationale Hochschule,Düsseldorf
data analyst,Statistiker (m/w/d),IU Internationale Hochschule,Hamburg
data analyst,Datenanalyst (m/w/d) in Wiesbaden,Betriebskrankenkasse Linde,Wiesbaden
data analyst,IT-Security-Senior (m/w/d) im Referat Informationssicherheit - Swisttal,Bundespolizeipräsidium,Swisttal
data analyst,Senior Product Analyst - Consumer Product ,Delivery Hero SE,
data analyst,Datenanalyst (m/w/d) Produktion / Prozesse,Enayati Oberflächentechnik GmbH,"Birkenfeld, Württemberg"
data analyst,(Senior) Website Analyst – E-Commerce Management (w/m/d) / 1306,IONOS SE,"Karlsruhe, Baden"
data analyst,Referent Datenanalyse und Prüfprozesse (w/m/d),Kassenärztliche Vereinigung Rheinland-Pfalz,Trier
data analyst,PowerBI Experte zur Visualisierung von Telematikdaten,emagine GmbH,Mannheim
data analyst,Staff Business Process Analyst (m/f/d),Nordson Benelux B.V.,
data analyst,Working Student - Competitive Intelligence Analyst (d/f/m),Airbus Defence and Space GmbH,München
data analyst,App IT-Analyst*in (m/w/d/-) -congstar GmbH,Deutsche Telekom AG,Köln
data analyst,Performance Reporting Manager (f/m/d),I. K. Hofmann GmbH,Düsseldorf
data analyst,Mitarbeiter:in Reporting & Qualitätsmanagement Energiewirtschaft (m/w/d),naturstrom AG,Düsseldorf
data analyst,Junior Controller (m/w/d) – Schwerpunkt Excel & Datenanalyse,ROOT GmbH,Mannheim
data analyst,Software- & Datenbankentwickler (m/w/d) mit Fokus Automatisierung,KB Container GmbH,Schlüsselfeld
data analyst,"Senior Pricing Analyst, Product Operations (Global Pricing)",Delivery Hero SE,Berlin
data analyst,Referent:in Strategisches Medizincontrolling (DRG Analyst) (m/w/d),Helios Verwaltung Ost GmbH,Berlin
data analyst,Lead-Business-Functional-Analyst---Risk,Deutsche Bank AG,Frankfurt am Main
data analyst,PreMaster Program - Purchasing Quality Analyst / REF252890H,Robert Bosch GmbH,Stuttgart
data analyst,"Senior BI Consultant Analytics, Power BI (100%) (w/m/d), Deutschland, hybrid",HighCoordination GmbH,Singen (Hohentwiel)
data analyst,Senior Expert Customer Pricing (gn) Vollzeit/Teilzeit,DKV Euro Service GmbH + Co.KG,Ratingen
data analyst,P&C Claims Innovation & AI Analyst (m/w/d),Hays AG,München
data analyst,Cyber Security Engineer – Analyst SOC/SIEM (m/w/d),LEITWERK AG,"Karlsruhe, Baden"
data analyst,Mitarbeiter für die Datenrecherche und Verfolgung von Projekten (w/m/div.),Office People Personalmanagment GmbH Magdeburg,Magdeburg
data analyst,Mitarbeiter Datenanalyse (m/w/d),Frontwork Personaldienste GmbH,Reutlingen
data analyst,Experienced Performance & Digital Controlling Analyst (f/m/d),Siemens Energy Global GmbH & Co. KG,Mülheim an der Ruhr
data analyst,Know Your Customer (KYC) Analyst (w/m/d) full remote,Jobactive GmbH,
data analyst,Referent Projekte & Schnittstellenkoordination (m/w/d) - Großhandel,Soennecken eG,"Overath, Bergisches Land"
data analyst,Senior Analyst - Forward Curve Modelling und Governance (f/m/d),E.ON SE,"Essen, Ruhr"
data analyst,Controller (m/w/d) mit Schwerpunkt REFA,DRK Blutspendedienst gGmbH,"Springe, Deister"
data analyst,Subject Matter Expert SME Analyst (f/m/d) - Procurement,Siemens Energy Global GmbH & Co. KG,Berlin
data analyst,Identity & Access Management – Technology Management Senior Analyst (f/m/x),Deutsche Bank AG,Frankfurt am Main
data analyst,Product Analytics Manager (w/m/d),Bundesnotarkammer KdöR,Berlin
data analyst,(Junior) Business Manager (m/w/d) befristet für 2 Jahre,HSBC Transaction Services GmbH,Düsseldorf
data analyst,Anwendungsbetreuer Dataanalyst (m/w/d),Knappschaft Kliniken Solution GmbH,Bochum
data analyst,Siemens Energy Graduate Program - Market and Competition Analyst (m/f/d),Siemens Energy Global GmbH & Co. KG,Erlangen
data analyst,Mitarbeiter*(w/m/d) Manager Digitale Daten & Prozesse,Willtec Messtechnik GmbH & Co. KG,"March, Breisgau"
data analyst,Analytics Engineer (m/w/d) Remote,HD Toner GmbH,"Uelzen, Lüneburger Heide"
data analyst,Senior Manager Product Data (m/w/d),Fiege Logistik Holding Stiftung & Co. KG,Hamburg
data analyst,Data Engineer (m/w/d),ALDI Einkauf SE & Co. OHG,"Essen, Ruhr"
data analyst,Digital Governance Specialist (f/m/d),Siemens Energy Global GmbH & Co. KG,Erlangen
data analyst,Data Quality Manager (f/m/d),Siemens Energy Global GmbH & Co. KG,Erlangen
data analyst,Data Warehouse Entwickler (m/w/d),MeisterWerke Schulte GmbH,Rüthen
data analyst,"Teamlead Applied Data Engineering & Science (m/w/d),Berlin,Waldenburg,München",Würth Elektronik eiSos GmbH & Co. KG,"Waldenburg, Württemberg"
data analyst,Process Mining Expert (m/w/d),apetito AG,Rheine
data analyst,Senior HR Technology & Data Specialist (m/w/d),Hoffmann SE,München
data analyst,Data Vault Architect (m/w/d),FERCHAU GmbH Niederlassung Rostock,Rostock
data analyst,Warehouse Specialist (m/w/d),blackned GmbH,Heimertingen
data analyst,Data & Analytics Engineer (m/w/d),Seifert Logistics GmbH,
data analyst,"Data Engineer (m/w/d), Kupferhammer",MöllerGroup GmbH,Bielefeld
data analyst,Consultant - Business Analyst Customer Data (m/w/d),Mercedes-Benz Group AG,Leinfelden-Echterdingen
data analyst,"Data Engineer (m/w/d), Zentrale",Bartels-Langness Handelsgesellschaft mbH & Co. KG,Kiel
data analyst,Spezialist Datenmanagement (m/w/d),FERCHAU GmbH Niederlassung Stuttgart Mobility,Stuttgart
data analyst,Data Architect (m/w/d),Windhoff Software Services GmbH,Gescher
data analyst,Service & Application Owner (m/w/d) Data Warehouse / Data Platform,BHS Bad Homburger Servicegesellschaft mbH,Bad Vilbel
data analyst,Data Warehouse Spezialist (m/w/d),FERCHAU GmbH Niederlassung Stuttgart Mobility,Stuttgart
data analyst,"Senior Data Engineer (m/w/d), München",JobRad® Loop,München
data analyst,"SENIOR CONSULTANT DATA PLATFORMS & AI (M/W/D), Hannover",Cratos GmbH,Hannover
data analyst,"Data Engineer (m/w/d),Berlin,Herzebrock,Hamm",Tennis-Point,Berlin
data analyst, Controller m/w/d ,serviceline Personal-Management GmbH & Co.KG,Berlin
data analyst,Business Intelligence Specialist (m/w/d),CHEFS CULINAR West GmbH & Co. KG,Weeze
data analyst,Data Architect (m/w/d),FISHBULL Franz Fischer SE & Co. KG,Neustadt bei Coburg
data analyst,"Data & AI Manager (m/w/d), Wangen im Allgäu",Hermann Waldner GmbH & Co. KG,Wangen im Allgäu
data analyst,Data Engineer (m/w/d),Ashampoo GmbH & Co. KG,Rastede
data analyst,Data Analytics Engineer (w/m/d),freenet,Hamburg
data analyst,Senior Data & Analytics Architekt (m/w/d),Windhoff Software Services GmbH,Gescher
data analyst,Data Governance Specialist (f/m/d),Siemens Energy Global GmbH & Co. KG,Erlangen
data analyst,Senior Data Platform Engineer,CompuSafe Data Systems AG,Unterföhring
data analyst,Senior Data Engineer People Analytics (w/m/d),dmTECH GmbH,"Karlsruhe, Baden"
data analyst,IT Analyst Software License Compliance (m/w/d),Deloitte GmbH,Leipzig
data analyst,Big Data Specialist* Cloud Services,inovex GmbH,Berlin
data analyst,"Lead Data Engineer (w/m/d) - infas 360, Bonn infas 360",Ipsos GmbH,Bonn
data analyst,Business Intelligence Engineer (m/w/d) - Marketing & Loyalty Analytics,ALDI Einkauf SE & Co. OHG,"Essen, Ruhr"
data analyst,"Consultant - Business Analyst Customer Data (m/w/d), MC Center",Mercedes-Benz Consulting GmbH,Leinfelden-Echterdingen
data analyst,Business Analyst Data Migration Versicherung (all genders),msg life central europe gmbh,Köln
data analyst,"Data Expert (m/w/d) - KPIs & Business Analytics, Headquarter",Dornbracht GmbH & Co. KG,Iserlohn
data analyst,(Senior) Manager Data Leakage Prevention Strategist (m/w/d),Deloitte GmbH,Berlin
data analyst,Business Analyst / Consultant Strategieberatung - Monitor Deloitte (m/w/d),Deloitte GmbH,Berlin
data analyst,"(Senior) Consultant (m/w/d) Data & Analytics, Controlling / Planung",Windhoff Software Services GmbH,Gescher
data analyst,IT Application Specialist  - ERP & Data Analytics (m/w/d),Luther Rechtsanwaltsgesellschaft mbH,Köln
data analyst,Mitarbeiter*in Data Warehouse (m/w/d) mit Schwerpunkt SQL,Kathrin Trost REDER Personalberatung,Köln
data analyst,"Data, Process & Project Manager (d/w/m), Plan International Deutschland e.V.",Plan International Deutschland e.V.,Hamburg
data analyst,NTT DATA Deutschland SE: Senior Business Analyst - Core Insurance (m/w/x) Guidewire & Business Proce,NTT DATA Deutschland SE,Hamburg
data analyst,Business Analyst / Consultant (m/w/d) Enterprise Resource Planning (ERP),Deloitte GmbH,Düsseldorf
data analyst,Consultant Data & Analytics (m/w/d),Schwarz Digits,Neckarsulm
data analyst,Data Analytics Architekt (m/w/d),AraCom IT Services,Kamp-Lintfort
data analyst,mgm technology partners GmbH: Data Warehouse Experte (m/w/d),mgm technology partners GmbH,Hamburg
data analyst,Business Analyst / Data Architect (d/f/m),Airbus Operations GmbH Werk Bremen,Hamburg
data analyst,"Remote (Senior) Consultant (m/w/d) Data & Analytics, Controlling / Planung",Windhoff Software Services GmbH,Gescher
data analyst,"Strategic Global Master Data Manager (SAP S/4HANA)(m/w/d), Hamburg",Alfred E. Tiefenbacher,Hamburg
data analyst,"Business Analyst Data Migration Versicherung (all genders) beim führenden Anbieter von Software, Ber",msg life central europe gmbh,Leinfelden-Echterdingen
data analyst,Junior Consultant Data Analytics (m/w/d),PROMATIS software,Ettlingen
data analyst,# Strategic Initiatives Specialist (d/m/w),Deutsche Bank AG,Frankfurt am Main
data analyst,IT Application Specialist  - ERP & Data Analytics (m/w/d),Luther Rechtsanwaltsgesellschaft mbH,Leipzig
data analyst,Legal Graduate / (Associate) Labor Relations Partner - (m/w/d),Tesla Germany GmbH,Berlin
data analyst,Remote Consultant (m/w/d) SAP BW / SAP Datasphere,Windhoff Software Services GmbH,Gescher
data analyst,(Senior) Consultant (m/w/d) SAP BW / SAP Datasphere,Windhoff Software Services GmbH,Gescher
data analyst,Business Intelligence und Data Analytics Consultant (m/w/d),accantec,Köln
data analyst,ERP Expert Data Analytics & Reporting - SAP S/4HANA (m/w/d),PERI Group,Weißenhorn
data analyst,NTT DATA Business Solutions Global Managed Services GmbH: SAP Berater:in für Business Analytics - Fo,NTT DATA Business Solutions Global Managed Services GmbH,Hamburg
data analyst,Junior Consultant Data & AI (m/w/d),ORAYLIS GmbH,Meerbusch
data analyst,Quereinsteiger Physiker / Mathematiker als Software Engineer Data Analytics (mwd),HMS Analytical Software,"Ulm, Donau"
data analyst,(Senior) Consultant Data & Analytics (all genders),noventum consulting,"Münster, Westfalen"
data analyst,Key Account Manager – Data & Analytics-Lösungen (m/w/d),Infomotion GmbH,Frankfurt am Main
data analyst,(Senior) Developer Reporting SAP Analytics & Business Data Cloud (m/w/d),Ernsting's family,Coesfeld
data analyst,Senior Data Processing & Reporting Architect (m/w/d),ORDIX AG,"Augsburg, Bayern"
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Osnabrück,Osnabrück
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Köln,Köln
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Bielefeld,Bielefeld
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Rosenheim,Gmund am Tegernsee
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Rosenheim,"Siegsdorf, Oberbayern"
data engineer,Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Rosenheim,"Engelsberg, Oberbayern"
data engineer,Data Engineer (w/m/d),TÜV SÜD AG,München
data engineer,Data Engineer (m/w/d),MISUMI EUROPA GmbH,Frankfurt am Main
data engineer,Data Engineer (m/w/d),Bartels-Langness Handels GmbH & CoKG,Kiel
data engineer,Senior Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Oldenburg,Lemwerder
data engineer,Data Engineer (m/w/d),CreditPlus Bank AG,Stuttgart
data engineer,Big Data Engineer (m/w/d),FERCHAU GmbH Niederlassung Leipzig,Leipzig
data engineer,SAP Data Engineer (m/w/d),MERKUR.COM AG,Espelkamp
data engineer,Data Engineer (m/w/d),Atruvia AG,"Münster, Westfalen"
data engineer,Data Engineer (m/w/d),Bartels-Langness Handelsgesellschaft mbH & Co. KG,Kiel
data engineer,Data Engineer (w/m/d),Hamburger Hochbahn AG,Hamburg
data engineer,Data Engineer (m/w/d),TKMS GmbH,Kiel
data engineer,Data Engineer (m/w/d),CodeCamp:N GmbH,"Nürnberg, Mittelfranken"
data engineer,Senior Data Engineer (m/w/d),Vodafone GmbH,Unterföhring
data engineer,Data Engineer (m/w/d),Randstad Professional,Mannheim
data engineer,Data Engineer (m/w/d),Diehl Defence GmbH & Co. KG,Nonnweiler
data engineer,Data Engineer (m/w/d),Giesecke+Devrient GmbH,Gmund am Tegernsee
data engineer,Data Engineer (m/w/d),AOK Baden - Württemberg Hauptverwaltung,
data engineer,Data Engineer (m/w/d),Bergfreunde GmbH,Kirchentellinsfurt
data engineer,Data Engineer (m/w/x),Reiser Simulation and Training GmbH,"Berg, Starnberger See"
data engineer,Senior Data Engineer (m/w/d),Tesla Germany GmbH,Berlin
data engineer,Data Engineer SOC (m/w/d),IBH connect GmbH,Dresden
data engineer,Data Engineer (w/m/d) Schwerpunkt SAP Analytics,Teckentrup GmbH & Co. KG,Verl
data engineer,Data Engineer Datenplattform (m/w/d),EDEKA IT Stiftung & Co. OHG,Hamburg
data engineer,Data Engineer,alfatraining Bildungszentrum GmbH,Düsseldorf
data engineer,Data Engineer,alfatraining Bildungszentrum GmbH,"Ulm, Donau"
data engineer,IT Specialist/Data Engineer (m/w/d),Heli Service International GmbH,"Emden, Ostfriesland"
data engineer,Customer Data Engineer (w/m/d),Maingau Energie GmbH,Obertshausen
data engineer,Senior Data Engineer (m/w/d),nü people GmbH,
data engineer,Data Engineer* / Machine Learning Engineer*,inovex GmbH,Pforzheim
data engineer,Data Engineer (m/w/d),TOI TOI & DIXI Group GmbH,Ratingen
data engineer,Data Engineer / DevOps Engineer (w/m/d),Guldberg GmbH,Frankfurt am Main
data engineer,Data Engineer (all genders),BORA Lüftungstechnik GmbH,Raubling
data engineer,Data und AI/ML Engineer (m/w/d),sedevo IT Consulting GmbH,Stuttgart
data engineer,Data & Analytics Engineer (m/w/d),Semdor Pharma Group GmbH,Köln
data engineer,IT Data Engineer (m/w/d),plusYOU Projects GmbH,Elmshorn
data engineer,Principal Data Engineer (m/w/d),Alexander Thamm GmbH,"Nürnberg, Mittelfranken"
data engineer,Data Engineer (m/w/d),Landesbank Baden-Württemberg,Stuttgart
data engineer,Data Engineer SAP (all gender),ALTEN Consulting Services GmbH Stuttgart,
data engineer,Data Engineer (m/w/d) - Dateningenieur,Ratbacher GmbH,Köln
data engineer,IT-Data Engineer (w/m/d),Elbe Flugzeugwerke GmbH,Dresden
data engineer,Customer Data Engineer (w/m/d),Maingau Energie GmbH,Obertshausen
data engineer,Cloud Data Engineer (m/w/d),Dataciders GmbH,Frankfurt am Main
data engineer,Data Engineer  – KI-Anwendungsentwicklung und Datenanalyseplattformen (m/w/d),Bundesdruckerei Gruppe GmbH,Berlin
data engineer,(Legal) Data Engineer,Delivery Hero SE,
data engineer,Senior Data Engineer (m/w/d),JobRad Loop,München
data engineer,Senior Data Engineer* / Machine Learning Engineer*,inovex GmbH,Hamburg
data engineer,Data Engineer (w/m/d),NEVARIS Bausoftware,Bremen
data engineer,Data Engineer (f/m/d),1 & 1 Mail & Media Applications SE,München
data engineer,Senior Data & Integration Engineer (m/w/d),LZ Informatik,"Nürnberg, Mittelfranken"
data engineer,Senior Data Engineer (m/w/d),Thermengruppe,Euskirchen
data engineer,Senior Data Engineer (w/m/d),Thermengruppe,"Sinsheim, Elsenz"
data engineer,"Werkstudent
Data Engineer - Microsoft Fabric (m/w/d)",Gebrüder Peters VerwaltungsGmbH,"Ingolstadt, Donau"
data engineer,Data Engineer Datenplattform (m/w/d),EDEKA IT Stiftung & Co. OHG,Hamburg
data engineer,(Junior) Data Engineer (m/w/d),CGI,Köln
data engineer,Data Product Engineer (m/w/d),REWE Group,Köln
data engineer,Data Engineer (m/w/d),Creditreform,Neuss
data engineer,Data Engineer (m/w/d),WFF-IT,Quakenbrück
data engineer,Data Engineer (m/w/d),SCHICKLER Unternehmensberatung,Hamburg
data engineer,Data Engineer (w/m/d),con terra,Köln
data engineer,Data Engineer (m/w/d),ORAYLIS,Meerbusch
data engineer,Data Engineer (w/m/d),S&N Invent,"Eschborn, Taunus"
data engineer,Data Engineer (m/w/d),ERGO,München
data engineer,Data Engineer - Produkt Integration (w/m/d),SEW-EURODRIVE GmbH & Co KG,Bruchsal
data engineer,Data Engineer Datawarehouse (all genders),CEWE Stiftung & Co.KGaA,Oldenburg (Oldb)
data engineer,Data Engineer,Fairtrade International e. V.,Bonn
data engineer,Senior Data & Integration Engineer (m/w/d),LZ Informatik,"Nürnberg, Mittelfranken"
data engineer,"Senior Data Engineer (w/m/d) – Data Integration, Data Warehouse",Wardow GmbH Potsdam,Potsdam
data engineer,Senior Data Engineer (m/w/d ) - Data Lakehouse,COPLA Burg GmbH,Lemwerder
data engineer,Technical Data Engineer (m/w/d) -AIRBUS,AERO HighProfessionals GmbH,Donauwörth
data engineer,Data Engineer (m/w/d),Rheinmetall AG,Bremen
data engineer,#14343 Data Engineer (m/w/d) SAP BW / BW4HANA ,Constaff GmbH,"Ulm, Donau"
data engineer,Data Engineer (m/w/d) SAS Base,SIGNAL IDUNA Bauspar AG,Hamburg
data engineer,(Junior) Data Engineer Waffensystemdaten (m/w/d),IABG Industrieanlagen Betriebs-GmbH,Ottobrunn
data engineer,Data Engineer für Data Lakehouse Konzepte (m/w/d) militärischer Schiffbau,ORANGE Engineering GmbH & Co. KG,Hamburg
data engineer,Data Engineer (m/w/d),OBO Bettermann Holding GmbH & Co. KG,Menden (Sauerland)
data engineer,Senior Data Engineer PowerApps / Power BI (m/w/d),FERCHAU Management GmbH,Gummersbach
data engineer,Data Engineer - BI Plattform (m/w/d) ,Bundesdruckerei Gruppe GmbH,Berlin
data engineer,(Junior) Data Engineer (m/w/d) DWH,Verti Versicherung AG,Teltow
data engineer,Data Engineer Business Intelligence (w/m/d),Deutsche Glasfaser Holding GmbH,Düsseldorf
data engineer,Principal Data Engineer (m/f/d),ThoughtWorks Deutschland GmbH Standort Hamburg,Hamburg
data engineer,Data Engineer (m/w/d) – Big Data & Databricks,thor consulting GmbH,Neuss
data engineer,Produkt Data Engineer (m/w/d) Analytics,REWE Group,Köln
data engineer,Data & Integration Engineer (m/w/d),GFE Metalle und Materialen GmbH,"Nürnberg, Mittelfranken"
data engineer,Data Engineer Toll (gn) Vollzeit/Teilzeit,DKV Euro Service GmbH + Co.KG,Ratingen
data engineer,Data Platform Engineer (m/f/d),Liebherr-International Deutschland GmbH,"Ulm, Donau"
data engineer,Senior Data Engineer (m/w/d) Databricks,Intercon Solutions GmbH,Düsseldorf
data engineer,(Junior) Data Engineer (m/w/d) Logistics Business Analysis,Dirk Rossmann GmbH,Burgwedel
data engineer,IT-Anwendungsentwickler / Data Engineer (m/w/d),SIGNAL IDUNA Bauspar AG,Hamburg
data engineer,Data Platform Engineer (all gender),ALTEN Consulting Services GmbH,Poing bei München
data engineer,SAP Data Engineer (m/w/d),MERKUR GROUP,Espelkamp
data engineer,Data Engineer / Datawarehouse Entwickler*in,SQL Service GmbH,Wuppertal
data engineer,Data & AI Engineer (Junior) (m/w/d),DIS AG Germany,Dresden
data engineer,Systems Engineer - Data Center (w/m/d),MAIT Germany GmbH,Pforzheim
data engineer,Azure Data Platform Engineer (m/w/d),netgo group GmbH,München
